id,title,year,date,wikidata,url
tt39366412,Girl From Nowhere The Reset,2026,2026-07-13,Q137786640,https://www.netflix.com/title/82704879
tt35450649,Melo Movie,2025,2026-05-10,Q131767898,https://www.netflix.com/title/81720593
m300581,"Lorena, Light-Footed Woman",2019,2025-06-06,Q78191654,https://www.netflix.com/title/80244683
m266042,The Paradise of Thorns,2024,2025-03-03,Q125974333,https://www.netflix.com/title/81981328
tt14164234,Ride or Die,2021,2024-11-28,Q105560027,https://www.netflix.com/title/81261676
tt15204292,Heeramandi: The Diamond Bazaar,2024,2024-11-04,Q124416531,https://www.netflix.com/title/81122198
tt31183805,The Empress of Ayodhaya,2024,2024-11-04,Q124639194,https://www.netflix.com/title/81782810
tt26861992,Mea Culpa,2024,2024-11-02,Q124257357,https://www.netflix.com/title/81577005
tt12540080,Dark Desire,2020,2024-11-02,Q85809906,https://www.netflix.com/title/81090319
tt27951663,Fatal Seduction,2023,2024-11-02,Q120687239,https://www.netflix.com/title/81553437
tt14995258,No Limit,2022,2024-11-02,Q114243738,https://www.netflix.com/title/81513875
tt21087084,Happy Ending,2023,2024-11-02,Q122196716,https://www.netflix.com/title/81578318
tt14369780,Lady Chatterley's Lover,2022,2024-11-02,Q113482264,https://www.netflix.com/title/81476441
tt15420598,Anne+: The Film,2021,2024-11-02,Q110934740,https://www.netflix.com/title/81337079
tt5503718,Gypsy: The Rabbit Hole,2017,2024-11-02,Q22908788,https://www.netflix.com/title/80095411
tt6704898,Elisa & Marcela,2019,2024-11-02,Q61650882,https://www.netflix.com/title/80121387
tt22297684,Class,2023,2024-11-02,Q116691847,https://www.netflix.com/title/81229406
tt11905720,She,2020,2024-11-02,Q90408115,https://www.netflix.com/title/81183494
tt29319990,"The Pig, the Snake and the Pigeon",2023,2024-11-02,Q123354170,https://www.netflix.com/title/81746263
tt32832648,Tribhuvan Mishra CA Topper,2024,2024-11-02,Q128482879,https://www.netflix.com/title/81285617
tt21383812,Crew,2024,2024-11-02,Q124656178,https://www.netflix.com/title/81672746
tt31158587,Master of the House,2024,2024-07-31,Q127789883,https://www.netflix.com/title/81622918
tt16283666,Single’s Inferno,2021,2024-01-07,Q110278132,https://www.netflix.com/title/81436209
tt10366460,CODA,2021,2023-12-02,Q104686893,https://www.netflix.com/title/81423558
